annotator,title,comment_id,comment_text,author,stance_pro,stance_con,argument_type,pathos_type,ethos_appeal,ethos_challenge,word_count,context,timestamp,published_date,like_count,mentions,root_comment_id,root_comment_text
885,Acid reageert aangeslagen op veroordeling,Ugw52LzjqbDd4wXCuGR4AaABAg,"rechter die liever geld zien dan gerechtigheid, het word tijd dat het volk opstaat tegen deze corrupte rechters",user_0001,,"belgische rechtssysteem, rechters","appeal to emotion or moral values (pathos), appeal to/challenging authority (ethos)","negative emotion (fear, anger, guilt, etc.)",,rechters,18,,2024-02-22 18:39:25+00:00,2024-02-22T18:39:25Z,2,,Ugw52LzjqbDd4wXCuGR4AaABAg,"rechter die liever geld zien dan gerechtigheid, het word tijd dat het volk opstaat tegen deze corrupte rechters"
885,Acid reageert aangeslagen op veroordeling,Ugw52LzjqbDd4wXCuGR4AaABAg.A07knG2bLALA08Ixdk7lcL,Insinueert u dat de rechter werd omgekocht ? Heeft u bewijzen ? Of klets u maar wat uit uw nek.,user_0002,"belgische rechtssysteem, rechters",,"appeal to emotion or moral values (pathos), appeal to/challenging authority (ethos)","negative emotion (fear, anger, guilt, etc.)",,user,20,,2024-02-22 23:46:40+00:00,2024-02-22T23:46:40Z,0,,Ugw52LzjqbDd4wXCuGR4AaABAg,"rechter die liever geld zien dan gerechtigheid, het word tijd dat het volk opstaat tegen deze corrupte rechters"
885,Acid reageert aangeslagen op veroordeling,Ugw52LzjqbDd4wXCuGR4AaABAg.A07knG2bLALA08OJQ4qNih,"Hij kletst uit zijn nek, maar zijn punt is vrij valide.",user_0003,rechters,belgische rechtssysteem,"appeal to emotion or moral values (pathos), appeal to/challenging authority (ethos)","negative emotion (fear, anger, guilt, etc.)",user,user,12,"Insinueert u  dat de rechter werd omgekocht ?
Heeft u bewijzen ? Of klets u maar wat uit uw nek.",2024-02-23 00:33:29+00:00,2024-02-23T00:33:29Z,0,alphonsepipo1948,Ugw52LzjqbDd4wXCuGR4AaABAg,"rechter die liever geld zien dan gerechtigheid, het word tijd dat het volk opstaat tegen deze corrupte rechters"
885,Acid reageert aangeslagen op veroordeling,Ugw52LzjqbDd4wXCuGR4AaABAg.A07knG2bLALA09skYWBlGZ,"ik kan het niet helpen dat jij stekeblind bent, justitie loopt al jaren mank, meer ga ik niet zeggen, want zo te horen ben jij een lover van corrupte rechters, goodbye",user_0001,,"belgische rechtssysteem, rechters","appeal to emotion or moral values (pathos), appeal to/challenging authority (ethos)","negative emotion (fear, anger, guilt, etc.)",,user,32,"Insinueert u  dat de rechter werd omgekocht ?
Heeft u bewijzen ? Of klets u maar wat uit uw nek.",2024-02-23 14:27:26+00:00,2024-02-23T14:27:26Z,0,alphonsepipo1948,Ugw52LzjqbDd4wXCuGR4AaABAg,"rechter die liever geld zien dan gerechtigheid, het word tijd dat het volk opstaat tegen deze corrupte rechters"
885,Acid reageert aangeslagen op veroordeling,Ugw52LzjqbDd4wXCuGR4AaABAg.A07knG2bLALA09t3ypkfdQ,wanneer hij uit zijn nek klets hoe kan zijn punt dan valide zijn ?,user_0002,,,,,,,15,"@user Hij kletst uit zijn nek, maar zijn punt is vrij valide.",2024-02-23 14:30:14+00:00,2024-02-23T14:30:14Z,0,streak0r,Ugw52LzjqbDd4wXCuGR4AaABAg,"rechter die liever geld zien dan gerechtigheid, het word tijd dat het volk opstaat tegen deze corrupte rechters"
885,Acid reageert aangeslagen op veroordeling,Ugw52LzjqbDd4wXCuGR4AaABAg.A07knG2bLALA0HdLCbzQmQ,"Je kan perfect iets zeggen dat 100% waar is, maar je redenering erachter fout. Dit is zo een voorbeeld. De rechter is niet omgekocht, maar er zit zeker een geurtje aan, je moet al een heel verstopte neus hebben om dit niet te rieken.",user_0003,rechters,belgische rechtssysteem,"appeal to reason, giving evidence (logos), appeal to emotion or moral values (pathos)","negative emotion (fear, anger, guilt, etc.)",,,44,@user wanneer hij uit zijn nek klets hoe kan zijn punt dan valide zijn ?,2024-02-26 14:46:42+00:00,2024-02-26T14:46:42Z,0,alphonsepipo1948,Ugw52LzjqbDd4wXCuGR4AaABAg,"rechter die liever geld zien dan gerechtigheid, het word tijd dat het volk opstaat tegen deze corrupte rechters"
885,Acid reageert aangeslagen op veroordeling,Ugw52LzjqbDd4wXCuGR4AaABAg.A07knG2bLALA0Hi310y9Er,"Hij werd veroordeeld voor laster, eerroof en belaging (bv 'het zwijn moest gespiest worden' wat oproepen tot geweld is. daarover gaat het. Deze veroordeling heeft niets van doen met de fout afgelopen doop. Stel dat een leeghoofd dewelke achter die rattenvangeer aanloopt dit interpreteert als een vrijgeleide en de restauranthouder (of diens zoon die met de doop als ex-reuzegommer niets te maken heeft) iets aandoet, bv spietsen. De man komt te overlijden. Gaat iedereen dan staan roepen dat Acid een moordenaar is of gaat u hem goedpraten ? Met dat 'er zit een geurtje aan' kan je alle kanten uit. Bv volgens de andere kant : Er werd in eerste instantie een schadevergoeding gevraagd van 200.000 euro. Ze wordt door de rechter teruggebracht tot 20.000 euro. En voor belaging en bedreiging zijn er ook al zwaardere straffen uitgesproken Omgekochte rechter ? Politieke inmenging ? Eén vd medewerkers in het kantoor is een ex-politicus. Klasse justitie ? Welke arme sukkelaar kan die advocaat betalen ? Wiens neus is verstopt ?",user_0002,,"acid, belgische rechtssysteem","appeal to reason, giving evidence (logos), appeal to emotion or moral values (pathos)","negative emotion (fear, anger, guilt, etc.)",,,170,"@user Je kan perfect iets zeggen dat 100% waar is, maar je redenering erachter fout. Dit is zo een voorbeeld. De rechter is niet omgekocht, maar er zit zeker een geurtje aan, je moet al een heel verstopte neus hebben om dit niet te rieken.",2024-02-26 15:27:54+00:00,2024-02-26T15:27:54Z,0,streak0r,Ugw52LzjqbDd4wXCuGR4AaABAg,"rechter die liever geld zien dan gerechtigheid, het word tijd dat het volk opstaat tegen deze corrupte rechters"
885,Acid reageert aangeslagen op veroordeling,UgxAgXbglklrTzmjuK54AaABAg,De eigenlijke winnaar is Acid. Hij heeft fijntjes aangetoond dat de strafmaat bepaald wordt door in welke mate families de juiste connecties hebben.,user_0004,acid,"belgische rechtssysteem, klassenjustitie","appeal to emotion or moral values (pathos), appeal to/challenging authority (ethos)","negative emotion (fear, anger, guilt, etc.)",,belgisch rechtssysteem,23,,2024-02-22 18:44:02+00:00,2024-02-22T18:44:02Z,86,,UgxAgXbglklrTzmjuK54AaABAg,De eigenlijke winnaar is Acid. Hij heeft fijntjes aangetoond dat de strafmaat bepaald wordt door in welke mate families de juiste connecties hebben.
885,Acid reageert aangeslagen op veroordeling,UgxAgXbglklrTzmjuK54AaABAg.A07lK5FWoBCA07tWAoUFK_,Bullshit. Het ene heeft met het ander niets te maken. Hij heeft laster en eerroof gepleegd tov personen die er niets mee te maken hebben.,user_0002,reuzegommers,acid,"appeal to reason, giving evidence (logos), appeal to emotion or moral values (pathos)","negative emotion (fear, anger, guilt, etc.)",,,25,,2024-02-22 19:55:36+00:00,2024-02-22T19:55:36Z,1,,UgxAgXbglklrTzmjuK54AaABAg,De eigenlijke winnaar is Acid. Hij heeft fijntjes aangetoond dat de strafmaat bepaald wordt door in welke mate families de juiste connecties hebben.
885,Acid reageert aangeslagen op veroordeling,UgxAgXbglklrTzmjuK54AaABAg.A07lK5FWoBCA07wdsO658x,"Hoezo heeft het ene niet met het andere te maken? Die personen die er zogezegd niets te maken mee hebben waren wel heel snel om naar de rechtbank te stappen. De Reuzegommers zijn er belachelijk makkelijk vanaf gekomen. Die hebben letterlijk een dode op hun geweten. Maar bij Acid willen ze ineens een voorbeeld stellen want, drama, hij zou laster en eerroof hebben gepleegd.",user_0005,acid,"reuzegommers, belgische rechtssysteem","appeal to reason, giving evidence (logos), appeal to emotion or moral values (pathos)","negative emotion (fear, anger, guilt, etc.)",,,64,,2024-02-22 20:23:00+00:00,2024-02-22T20:23:00Z,0,,UgxAgXbglklrTzmjuK54AaABAg,De eigenlijke winnaar is Acid. Hij heeft fijntjes aangetoond dat de strafmaat bepaald wordt door in welke mate families de juiste connecties hebben.
